Antwort Nr.,Exam Question,Example Answer,Feedback,Comment
40,"Compare the power grid infrastructures of a developing country versus a developed country. Highlight differences in generation, transmission, and distribution","Generation            Developing countries use low renewables, mostly large hydro and fossil fuels, while developed countries use high renewables like wind, solar, hydro + storage integration.            Developing countries have frequent blackouts due to load shedding, causing frequent power outages, while developed countries have baseload stability which provides uninterrupted supply even during peak demand.            Developing countries are fuel dependent, using mostly fossil fuels which can be influenced by price shocks, while developed countries use a diversified mix of fuels.            Transmission Networks            Developing countries have high losses (20-35% technical losses from old lines and theft), while developed countries have low losses (3-7% from HVDC lines and advanced monitoring).            Developing countries have fragmented grids with weak inter-regional connections, while developed countries have supergrids with cross-border integration (e.g., EU&#039;s synchronous grid).            Developing countries have minimal automation and mostly use manual load balancing, while developed countries have smart transmission, phasor measurement units (PMUs), and AI-driven flow control.            Distribution Systems            Developing countries have unreliable supply (8-12 hours/day outages in rural areas), while developed countries have 24/7 supply (",1,
41,What do you think is the correlation between Power Grids and Computer Networks?,"I think as in real life power grids carry the electricity to our homes and they light our homes up. Similarly, in the digital world networks power our computers and the internet. Without them we won&#039;t be able to utilize the internet the way we all are doing in this era. Power grids transfer power and networks transfer data over the lines.",1,
42,"Modern power grids are evolving into Smart Grids to improve reliability and efficiency. Discuss the key differences between traditional power grids and smart grids, highlighting their advantages and challenges.","Traditional power grids follow a centralized structure, where electricity flows one way from power plants to consumers. These grids rely on manual monitoring and control, making them less adaptive to real-time demand and supply fluctuations.            On the other hand, Smart Grids integrate digital technology, sensors, and two-way communication to enhance efficiency and resilience. They support real-time monitoring, allowing automated fault detection, self-healing, and demand response. Smart grids enable the integration of renewable energy sources, such as solar and wind, while also allowing prosumers (consumers who produce electricity) to contribute to the grid.            Examples of Smart Grid Initiatives in Austria:      Smart Grid Modellregion Salzburg, ASSET (Advanced Smart Grid Solutions for Austria)            Challenges of smart grids include high implementation costs, cybersecurity risks, and the need for interoperability standards among different technologies.",1,
43,How is electricity generated for a power grid?,"Electricity is generated using sources like coal, natural gas, nuclear, hydro, wind, and solar energy.",3,
44,What is the importance of frequency in power grids?,"Frequency in power grids is crucial for maintaining stability and efficiency. The frequency needs to stay within a specific range to make sure all the generators work together properly. If the frequency gets too high or too low, it can cause problems like power outages or damage to equipment.",3,
45,"What is the main differences between AC (alternating current) and DC (direct current) in power transmission, and why is AC used mostly in power grids?",AC (Alternating Current) transmits voltage and current periodically reverse direction while DC(Direct Current) transmits voltage and current flow in a constant direction.      Why AC used mostly -      -AC has high voltage AC transmission and it  reduces resistive losses.Also AC has efficient transmission .,2,
46,"What are the nominal values of the power grid, and why are they important for stable operation?","The nominal values of the power grid include standard voltage and frequency level, typically 230V for households and 50Hz in Europe. These values ensure device compatibility and smooth grid operation. If the voltage or frequency deviates too much, it can damage equipment, reduce efficiency, or even lead to blackouts. That&#039;s why grid operators constantly monitor and regulate these values.",2,
47,"What are the biggest challenges in integrating renewable energy sources into power grids, and how can these challenges be addressed?","Challenges: Intermittency, grid stability issues, infrastructure limitations, and energy storage needs.            Solutions: Energy storage systems (e.g., batteries), grid modernization, demand-side management, and smart grid technologies.            Example: Use of microgrids to manage localized renewable generation and consumption.",2,
48,"When a blackout happens, what needs to be done to restore power, and how can failures be prevented?","Restarting or re-energizing a power grid after a blackout is called a black start. A crucial aspect to all black starts is understanding the reason for the outage, and fixing the problem.      The black start, or bootstrapping, often involves seeding power from an independent source, like diesel generator or natural gas turbines. Hydroelectric plants can black-start themselves, since little electricity is needed to open the valves of the dam and let water flow through a turbine. Once the turbine spins, spins it powers an electric generator.            After a black-start, it&#039;s essential that the system is load balanced, so that the power supplied by the generator matches the demand. Otherwise, the generation plant will run too fast or be exhausted, which causes the system to fail again. Since some fluctuations still happen during a black start, a system needs to be able to handle this.            Failures can be prevented through regular maintenance and repairs of the components of the power grid. Distributed systems are often more resistant to blackouts since they don&#039;t have a single point of generation failure, but they can be harder to black start, because multiple generation sites need to be bootstrapped, and load balancing becomes more complicated.",3,
49,What are some of the main Challenges Concerning the Transition to Renewable Energy?,"- Renewable energy sources are often less predictable. Wind and solar power are less predictable than burning fossil fuels.      - With renewable Energy production there are less turbines, which are used as a buffer. they prolong the time you have to counteract frequency imbalances in the power grid. -&gt; So the need of additional buffer is a challenge      - the more decentralized power production of renewable Energy needs new infrastructure for transmission and distribution      - the biggest challenge of all is the political Situation      	- -&gt; The Rise of the right-wing extremists (who also often deny climate change)",3,
50,What measures should individuals and grid operators take to minimize the impact of a large scale power outage?,Individuals should use backup  power conserve energy and stay informed. Operators should identify faults quickly  restore power in phases and invest in energy storage and grid resilience technologies to prevent future outages.,2,
51,"In the context of contemporary power grids, elucidate the notion of demand response and its significance in ensuring grid stability. How does demand response differ from traditional grid management approaches, and what role do smart technologies play in enabling it? Please provide examples to support your answer.","Demand Response is a strategy used in power grid management to adjust or shift electricity consumption in response to supply conditions, price signals, or grid reliability needs. Unlike traditional grid management, which focuses on adjusting supply to meet demand (e.g., turning power plants on or off), demand response aims to influence consumer behavior to reduce or shift demand during peak periods or emergencies.            Significance:            Grid Stability: Helps balance supply and demand, preventing blackouts or grid failures.      Cost Efficiency: Reduces the need for expensive peak-power plants.      Sustainability: Encourages energy conservation and integration of renewable energy sources.      Role of Smart Technologies:      Smart technologies, such as smart meters, IoT devices, and automated control systems, enable real-time communication between utilities and consumers. For example:            Smart Meters: Provide real-time data on energy usage, allowing consumers to adjust consumption based on price signals.      Automated Systems: Can temporarily reduce power to non-essential devices (e.g., HVAC systems) during peak demand.      Example:      During a heatwave, a utility company might send price signals to consumers via a mobile app, encouraging them to reduce usage. Smart thermostats could automatically adjust temperatures, reducing strain on the grid.      In summary, demand response, enabled by smart technologies, is a critical tool for modern power grids, ensuring stability, efficiency, and sustainability.",1,
52,Why should frequency be maintained in a power grid system? Come with at least 3 examples of what can influence on frequency changes and describe possible consequences of a failure in maintaining a power system.,"Maintenance of the frequency in a power system is crucially important. Frequency affects how well the power system works. A stable frequency of 50Hz (somewhere 60Hz) +- 0.03Hz means the system is running smoothly. If the frequency changes on bigger numbers, it can cause problems, such as breaking down electrical devices, connected to the system, damaging parts of the power grid, power outages and, in worst cases, inability of power plants working. To avoid such damages, the frequency is maintained. It is happening automatically, based on the current frequency of the system. The frequency itself fully depends on the electricity production and consumption amounts. For example, the following occurences can influence on that: a break of a power plant (less electricity is produced), a cloudy and/or non-windy weather (solar panels and windmills don&#039;t produce electricity) or a final episode of Game of Thrones (all people are watching it and consuming more electricity at once).",3,
53,Discuss the key challenges faced by modern power grids in ensuring reliable and efficient electricity distribution. How can smart grid technologies help address these challenges?,"Modern power grids face several challenges,       including:      Aging Infrastructure: Many power grids were built decades ago and require significant upgrades to handle modern electricity demands.      Increasing Demand: Growing electricity consumption, driven by urbanization and technological advancements, puts pressure on existing infrastructure.      Integration of Renewable Energy: Solar and wind energy sources are intermittent, creating challenges in maintaining grid stability.      Cybersecurity Risks: As grids become more digitized, they become more vulnerable to cyberattacks that could disrupt power supply.      Grid Stability and Reliability: Extreme weather events, equipment failures, and fluctuating demand can lead to blackouts and reliability issues.      Smart grid technologies can help address these challenges in several ways:      Advanced Sensors &amp; Monitoring: Real-time monitoring allows for early detection of faults and quicker response to failures.      Automated Control Systems: Smart grids can automatically reroute power to minimize outages.      Demand Response &amp; Energy Storage: These helps balance supply and demand, reducing the impact of renewable energy variability.      Decentralized Energy Production: Microgrids and distributed generation (such as rooftop solar) can improve resilience and reduce transmission losses.      Cybersecurity Measures: Enhanced security protocols and AI-driven threat detection can mitigate cyber risks.      By implementing these technologies, power grids can become more resilient, efficient, and sustainable.",2,
54,Explain the concept of a power grid. How does it ensure the delivery of electricity from power plants to consumers?,"The power grid is a network that delivers electricity from producers (like power plants or solar farms) to consumers. Here’s how it works:            Generation: Power plants create electricity.            Transmission: High-voltage lines carry it efficiently over long distances.            Substations: Transformers lower the voltage for safe local use.            Distribution: Smaller lines deliver electricity to homes and businesses.            Balance: Grid operators constantly match supply to demand, rerouting power if outages occur, ensuring lights stay on.      It’s a real-time, interconnected system built for reliability and adaptability.",3,
55,What are the power grid&#039;s main technical components between the producer (e.g. a power plant) and the consumer (e.g. an electrical socket)? What is their purpose?,Transformers for increasing the voltage before the electricity is transmitted through power lines and then again transformed down to much lower voltages for the end user.,3,
56,How can cyber attacks affect the physical infrastructure of the power grid?,"Cyber attacks can target control systems like SCADA, allowing attackers to remotely switch off substations or overload parts of the grid. For example, in the Ukraine 2015 attack, malware was used to shut down 30 substations and cause a blackout. These attacks bridge the digital and physical worlds, making critical infrastructure vulnerable to remote manipulation and damage.",3,
57,"Question 1: How is system frequency used to measure power grid imbalances?      Question 2: Write a key parameters that define a stable power grid, and how do they vary across different regions?","Answer 1: Nominal system frequency is a 50Hz , so if supply is exceeds then demand frequency rises, if demand exceeds supply then frequency drops. Continuously frequency monitoring helps to operate detect and correct imbalances because the imbalance can lead to power failure or equipment damage            Answer 2: The stability of power grid depends upon its voltage levels, frequency 50Hz or 60Hz and also grid capacity, Like European Countries follows 20V, 50Hz while North America follow 120V, 60Hz. The Variations depend on historical standards, infrastructure, and regulatory policies.","3 (first question),3 (second question)",Nominal values are partially wrong.
58,"Why is energy not storable at large scale, and how does that affect grid operations?","Electric energy cannot be stored at large scale efficiently because current storage technologies—such as batteries, pumped hydro storage, or capacitors—have limited capacity, high costs, and technical constraints. Unlike fuels (e.g., gas or coal), electricity must be used almost immediately after it&#039;s generated.      As a result, electricity supply and demand must be continuously balanced in real time. If generation exceeds demand, frequency increases; if demand exceeds supply, frequency drops. This can lead to instability or even blackouts if not managed carefully.      To maintain balance, grid operators rely on forecasting demand, activating reserve power plants, and using automated control systems. This limitation makes the power grid a highly dynamic and sensitive system that requires constant monitoring and adjustment.",3,
59,How does energy storage help stabilize the power grid?,Following are the points which helps to stabilize the power grid:      i. Stores excess energy      ii. Balance supply and demand       iii. Reduces reliance on backup power      iv. Enhances grid reliability,2,
60,How do renewable energy sources like solar and wind affect grid stability?,"Renewable energy sources like solar and wind can impact grid stability because their power output is variable. Solar energy depends on sunlight, and wind energy depends on wind conditions, so the amount of electricity they produce can fluctuate. This makes it harder to balance supply and demand on the grid. To maintain stability, we use energy storage systems like batteries to store excess power for later use, backup power sources like gas or hydro plants that can quickly adjust their output, and grid connections to share power across regions. Additionally, smart grid technologies and demand response systems help adjust electricity usage based on availability, ensuring the grid remains stable while increasing the use of renewable energy.",3,
61,Describe the hierarchical structure of the power grid and explain why different voltage levels are necessary for efficient electricity transmission and distribution.,"The power grid consists of three main hierarchical levels:       - generation;       - transmission (high voltage);       - distribution (medium to low voltage).       Different voltage levels are necessary because high voltages minimize energy losses during long-distance transmission, while step-down transformers reduce voltage to safer levels appropriate for everyday use.",3,
62,Describe the challenges associated with integrating renewable energy sources into the existing power grid infrastructure. What technical and operational adaptations are necessary to support the energy transition while maintaining grid stability and reliability?,"Integrating renewable energy sources into the existing power grid requires significant adaptations across three key domains:            Technical challenges and adaptations:      1) Intermittency and Variability: Unlike conventional generation, renewables like solar and wind fluctuate based on weather conditions, requiring energy storage systems, improved forecasting, and hybrid power systems.      2) Grid Infrastructure Limitations: Traditional grids were designed for unidirectional power flow from centralized plants. Renewables require grid reinforcement, new transmission corridors, and smart grid technologies to manage bidirectional flows and distributed generation.      3) Power Quality Issues: Renewables connected through power electronics can affect voltage stability and introduce harmonics, necessitating advanced inverters with grid-supporting functions and additional voltage regulation equipment.            Operational challenges and adaptations      1) Balancing Supply and Demand: With high renewable penetration, grid operators need new forecasting tools, demand response programs, and revised reserve requirements to maintain system balance.      2) System Inertia Reduction: Conventional generators provide natural inertia that stabilizes frequency. As these are replaced by renewables, synthetic inertia from converters and fast frequency response services become critical.      3) Control Systems: Grid management systems must evolve to monitor thousands of distributed resources and implement advanced optimization algorithms for efficient operation.",3,
63,Explain how a cyberattack can impact the power grid. Your answer should be an actual example and mention the kinds of systems typically targeted.,"Cyberattacks on the power grid target critical systems such as SCADA (Supervisory Control and Data Acquisition), substation automation, and IT infrastructure. A real-world example is the 2015 cyberattack in Western Ukraine, where attackers used spear-phishing and blackenergy malware to gain access to SCADA systems. They remotely shut down 30 substations, leaving 230,000 customers without power. Attackers also disabled modems, deleted server files, and launched a DDoS attack on the call center. These attacks expose how dependent the grid is on digital systems, and how compromising them can lead to real-world blackouts.",3,
64,"Explain in your own words what a static load attack is and, if you were an attacker, how would you execute such an attack?","A static load attack is a cyber attack where an attacker manipulates the power consumption patterns of a system by creating sudden, static demand for electricity. Such attacks attempt to destabilize a power grid in the hopes of triggering protection mechanisms that could damage the infrastructure or lead to blackouts.      If I was an attacker I would execute my attack in spring on a system that uses renewable energy, as springtime is a transitional period where power grids are often less stable and renewable energy sources have a more unstable supply of power, which means that they are more vulnerable to frequency based attacks.",3,
65,Explain the concept of a power grid and describe how it ensures the reliable delivery of electricity from power plants to consumers.,"A power grid is a network of transmission lines, substations, transformers, and other components that work together to deliver electricity from power plants to consumers. The grid is responsible for transmitting electricity over long distances from where it is generated to homes, businesses, and industries.            The process begins at power plants, where electricity is produced from various energy sources such as coal, gas, hydro, or renewables. This electricity is then transmitted through high-voltage transmission lines to minimize energy loss. At substations, the high voltage is stepped down by transformers to a level that is safe and usable for homes and businesses.            To ensure reliable delivery, the power grid is equipped with monitoring systems that balance supply and demand, as well as safety mechanisms like circuit breakers to protect against overloads and outages. These systems work together to maintain a steady and continuous flow of electricity to consumers.",3,
66,"Compare the operational challenges of integrating renewable energy sources into a centralized power grid (e.g., France&#039;s nuclear-based system) versus a decentralized grid (e.g., Germany&#039;s Energiewende model). How do these structural differences impact grid stability and energy transition goals?","Centralized grids like France&#039;s face challenges in ramping flexibility—nuclear plants cannot easily adjust output to compensate for renewable intermittency, requiring costly ancillary services (e.g., importing German wind power). Decentralized grids like Germany&#039;s struggle with transmission bottlenecks, as solar/wind generation often exceeds local demand but lacks infrastructure to transport surplus energy southward. Both systems must address frequency stability: France relies on large rotating turbines for inertia, while Germany deploys battery farms and synthetic inertia from renewables. The structural choice thus dictates transition strategies—centralized grids prioritize storage/imports, while decentralized grids focus on grid expansion and demand-side management.",2,
67,How does demand response help in balancing power supply and demand? Discuss its benefits for both utilities and consumers.,"Definition: Demand response adjusts electricity consumption based on real-time grid conditions.            Benefits for utilities: Reduces peak load, prevents blackouts, and lowers operational costs.            Benefits for consumers: Lower electricity bills, incentives for shifting usage to off-peak hours.            Example: Time-of-use pricing encourages customers to use electricity when demand is low.",3,
68,List a possible fault in a transmission system and provide a common solution.,Line short circuit.      Relay Protection – Automatically detects faults and quickly disconnects the faulty line.,3,
69,"How can renewable energy sources like solar and wind be integrated into the power grid, and what challenges might arise?","Renewable energy sources like solar and wind can be added to the power grid through smart systems that balance supply and demand. For example, solar panels can send extra electricity back into the grid during the day when the sun is shining. Wind turbines do the same when the wind is strong.            However, one challenge is that these energy sources are not always available. The sun doesn’t shine at night, and the wind doesn&#039;t blow all the time. This can make the power grid unstable if there&#039;s no backup. To fix this, we need better energy storage (like big batteries) and smart technology that can switch between energy sources when needed.",2,
70,How to attack and protect the power grid from the cyber war?,"Now in the 20th century, people are using more advanced technology to run the power grid service. But technically, organizers are not aware of the digital technology having some vulnerability when made. As a result, the power grid faces the cyber attack. So we have to make sense of the issues and fix them as soon as possible.            There are different types of attacks that can happen. Due to lack of network deployment and misguiding the development of the digital power grid.                        Due to lack of network deployment and misguiding the development of the digital power grid.            Malware and Ransomware attack            DDoS attack            Supply chain attack            Inside threat            APT (advanced persistent threat)            There are several techniques to protect the power grid from cyber attacks or war.            Network layer separation            Use the multiple-layer authentication.            IPS and IDS system            Weekly patch management system.            Weekly pentesting of the whole system            Data encryption system.",1,
71,What are the key challenges and opportunities associated with integrating renewable energy sources into the European power grid?,"Challenges:      -The infrastructure needs to to be upgraded to handle not only increased capacity but also generators that may be far apart from eachother      -Grid stability is also a challenge because wind and solar are intermittent and can lead to fluctuations in power supply.            Opportunities:      -The European grid can help with grid stability because it allows cross-border electricity trade and can help to balance supply and demand.      -New technologies like batteries, hydrogen or even already established ones like dams can help storing power.",2,
72,Why do we use alternating current in our households instead of direct current?,"Here are some reasons:      1) Long-range transmission efficiency      AC can be easily transmitted over long distances with minimal energy loss.      2) Cost and Infrastructure      The infrastructure required for the transmission and distribution of AC electricity is simpler and more accessible than for direct current.      3) Safety and Maintenance      AC is easier to interrupt and control using circuit breakers and fuses.            There are many answers you can write here, for example Historical Development (Tesla vs. Edison), Ease of Voltage Transformation, and so on. That&#039;s why I like this question.",3,
73,"Why and when is primary control activated, what is a primary control response and after and for how much time is the response to be expected?","When an imbalance between the requested load and the current generation occurs, primary control is activated. It is generally automatic and expected within 30s of the event (the imbalance event), generally it is expected to provide additional power as required for about 15mins. Essentially primary control measures are activating power plants in standby.",3,
74,How is the power grid operated to ensure a stable and reliable electricity supply?,The power grid is a complex system that requires constant management to balance electricity generation and consumption. Grid operation is handled by Transmission System Operators for high-voltage networks and Distribution System Operators for local distribution.,3,
75,Describe the new electrical or energy resources like wind and solar and compare them with old fossil fuels.,"Lower greenhouse gas emissions will help us reduce air pollution. It prevents you from investing a large amount of money, although fossil fuels cost an amount. The new energy resources depend on weather conditions on the other side; fossil fuels depend on power plants&#039; Power grade, which requires a power balance while providing the energy with sudden change. It can lead to a blackout",1,
76,How can load profiles be calculated/measured and how are they leveraged by suppliers and grid operators?,"They are usually inferred from historic trends and statistics about past usage, especially related to time of day and seasonally. Load profiles are then used by power producers to know how much electricity they have to provide at the given time.",3,
77,"What role do transformers play in the power grid, and why are they essential for efficient electricity transmission?","Transformers are critical components in the power grid that adjust voltage levels to enable efficient electricity transmission. They step up voltage at power plants to very high levels (e.g., 110–765 kV) for long distance transmission, reducing energy losses caused by resistance in the wires. Later, they step down the voltage progressively (e.g., to 230/110 V) for safe use in homes and businesses. Without transformers, transmitting electricity over long distances would result in massive energy waste, making the power grid impractical and costly.",3,Voltage levels appear to be from other countries
78,"Which key metric is used to regulate the power grid, and how does over- or underproduction affect it?      Which three mechanisms are used to stabilize the power grid (each explained in one sentence)?      What happens if stabilization fails?      What does it mean when power grids are synchronized?","1)The key metric is frequency (measured in Hertz, Hz), we regulate the power grid based on frequency. In the European power grid, the nominal frequency is 50 Hz, while in the United States, it is 60 Hz. If generation exceeds consumption, the frequency rises above 50 Hz which indicates an excess of electricity production. If consumption exceeds generation, the frequency drops below 50 Hz. If the frequency grossly deviates from the targeted 50 Hz, the operator may have to power down the whole grid to prevent damages.            2)To correct the frequency and balance out the demand and supply of electricity, we have 3 controls in place:      Primary Control (FCR - Frequency Containment Reserve): This is an automatic response that activates within seconds to counteract sudden frequency deviations. e.g. gas power plant in standby, or a big water boiler at Spittelau.      Secondary Control (aFRR - Automatic Frequency Restoration Reserve): It restores the frequency back to 50 Hz within minutes (~5 min) by dynamically adjusting power plant output.      Tertiary Control (mFRR - Manual Frequency Restoration Reserve): This mechanism is manually activated within 15 minutes and ensures long-term grid stability by replacing secondary control when needed.            But we also rely on the huge centrifugal masses that conventional power plants have, as they can level out minor deviations in demand and supply.            3)As mentioned above, if the operators fail in stabilizing the grid, a partial or full blackout could be the result. When the frequency drops too low or rises too high, automatic protection systems disconnect parts of the grid to prevent total collapse. In severe cases, restoring power can take hours or even days, depending on the extent of the failure and the availability of restartable power plants (black-start capability). We don&#039;t know for sure how long it would take to be up and running again, as we never had to try it.            4)Synchronized power grids operate at the same frequency and phase, allowing seamless energy exchange between different regions. This synchronization ensures that electricity flows efficiently and prevents instability. The European power grids could be operated in island mode, which could be necessary if the grid can&#039;t be stabilized. But running in island mode is way more challenging.",3,
79,"Explain the differences between primary, secondary, and tertiary reserves in terms of their activation mechanisms, response times, and role in maintaining grid stability","Primary Reserve:                Activation Mechanism: Automatically triggered by frequency changes.                Response Time: Activates within seconds.                Role: Stabilizes grid frequency after sudden imbalances.            Secondary Reserve:                Activation Mechanism: Automatic or semi-automatic, based on system operator signals.                Response Time: Takes over within minutes after primary reserve activation.                Role: Sustains balance after initial stabilization.            Tertiary Reserve:                Activation Mechanism: Manually activated by operators.                Response Time: Activated within 15 minutes or more.                Role: Long-term adjustments to restore grid stability and replenish other reserves.",3,
80,What to do in case of a blackout?,"During a blackout, stay calm and first check if the outage is limited to your home or widespread by looking outside or contacting neighbors. Use a flashlight for visibility—avoid candles to reduce fire hazards. Unplug sensitive electronics to protect them from potential power surges when electricity returns. Keep your refrigerator and freezer doors closed to maintain the cold temperature and preserve food for as long as possible. If you have a backup power source like a generator or power bank, use it sparingly for essential needs. Report the outage to your local utility company and monitor updates. Dress appropriately to stay warm in cold weather or find ways to stay cool if it’s hot. Preparing a blackout kit with essentials like flashlights, batteries, water, and non-perishable snacks can help you handle future outages more comfortably.",3,
81,Describe the normal operational values of the European power grid and explain what people should do in case of a blackout.,"The European power grid normally operates with specific standard values that keep our electricity working properly. The most important ones are:      •	Frequency: 50 Hz (Hertz) across all of Europe      •	Voltage: 230V in our homes for normal outlets, and 400V for three-phase connections used for larger appliances like electric stoves      These values are important because all our electrical devices are designed to work with them. Power grid operators work constantly to keep these values stable by making sure that the amount of electricity being generated matches exactly what people are using at any moment.      When there&#039;s a blackout, these normal values disappear because the power supply is interrupted. During a blackout, people should:      1.	Check if the power outage affects only your home or the whole neighborhood      2.	Unplug sensitive electronics like computers and TVs to protect them from potential power surges when electricity returns      3.	Use flashlights instead of candles to reduce fire risks      4.	Keep refrigerator and freezer doors closed as much as possible to keep food cold longer      5.	Have an emergency kit ready with:       o	Bottled water      o	Non-perishable food      o	Battery-powered radio      o	Flashlights and extra batteries      o	First aid supplies      o	Any necessary medications      6.	Check on elderly neighbors or those with special needs who might need help      7.	Listen for updates from authorities about when power might be restored",3,
82,Why is AC used in power grids instead of DC in most cases?,"AC is used because it has smaller losses than DC and because it goes over longer distances, which means that fewer substations are needed for its transmission.",3,
83,Let&#039;s say that a steel mill is connected to the regional power grid. What parameters does the power grid operator need to monitor that would be impacted by turning on a large furnace? What should the operator do to prepare for this type of event?,"A steel mill is a large electricity consumer and should maintain a special relationship with the power grid operator. Any event that dramatically changes the system load should be planned and communicated in advance. When turning on a furnace, the operator should match the power draw by increasing generation. The operator will also monitor the voltage and frequency of the power grid and take action if any dips in these parameters occur.",2,
84,"What type of current is primarily used in modern power grids, and why?","Modern power grids primarily use alternating current (AC) because it is more efficient for transmitting electricity over long distances. AC voltage can be easily transformed to higher or lower levels using transformers, reducing energy loss during transmission.",3,
85,Discuss the impact of renewable energy integration on  power grids. How do smart grids address the challenges associated with intermittent energy sources?,"Renewable energy integration into power grids introduces challenges due to the intermittent nature of sources like solar and wind, which depend on weather conditions. Traditional grids struggle with fluctuations in supply and demand, leading to instability. Smart grids address this by:            Optimizing energy flow based on supply-demand conditions.      Storing excess power for later use.      Adjusting consumption to match availability.      Enhancing reliability with local energy sources.",3,
86,What AC frequency can an end user in the continental European power grid expect?,50 Hz,3,
87,What makes it impossible for the UK and the Nordic Countries not synchronised to the rest of the European Power Grid with the current infrastructure?,"Because they are connected to the European Power Grid with DC lines, which transmit current without a sine.",1,
88,Compare the ENTSO-E (European Network of Transmission System Operators for Electricity) framework with other international grid management models. What are its advantages and challenges?,"ENTSO-E integrates national grids across Europe, promoting cross-border energy trade, load balancing, and renewable integration. Compared to grids in isolated regions, ENTSO-E offers better resilience and efficiency but faces challenges such as regulatory differences and infrastructure investments across member states.",3,
